resnet18_alldata,1658260927.366, 0.42, 0.9584, 0.36, 0.9685
resnet18_alldata,1658260927.889, 0.46, 0.9142, 0.44, 0.966
resnet18_alldata,1658260928.415, 0.43, 0.9128, 0.34, 0.9407
resnet18_alldata,1658260928.941, 0.44, 0.8636, 0.39, 0.8573
resnet18_alldata,1658260929.459, 0.4, 0.8707, 0.38, 0.8714
resnet18_alldata,1658260929.98, 0.53, 0.8209, 0.46, 0.8165
resnet18_alldata,1658260930.502, 0.42, 0.8257, 0.45, 0.8176
resnet18_alldata,1658260931.027, 0.36, 0.8913, 0.41, 0.8295
resnet18_alldata,1658260931.549, 0.44, 0.7801, 0.38, 0.8499
resnet18_alldata,1658260932.071, 0.46, 0.8128, 0.44, 0.817
resnet18_alldata,1658260932.592, 0.44, 0.7572, 0.54, 0.7373
resnet18_alldata,1658260933.116, 0.43, 0.8054, 0.53, 0.7441
resnet18_alldata,1658260933.642, 0.46, 0.7925, 0.46, 0.761
resnet18_alldata,1658260934.164, 0.49, 0.7364, 0.53, 0.703
resnet18_alldata,1658260934.684, 0.49, 0.752, 0.44, 0.7805
resnet18_alldata,1658260935.204, 0.43, 0.8017, 0.48, 0.7072
resnet18_alldata,1658260935.724, 0.49, 0.7667, 0.57, 0.705
resnet18_alldata,1658260936.244, 0.41, 0.804, 0.48, 0.7944
resnet18_alldata,1658260936.765, 0.49, 0.7373, 0.5, 0.7356
resnet18_alldata,1658260937.289, 0.42, 0.8228, 0.56, 0.7267
resnet18_alldata,1658260937.813, 0.6, 0.6364, 0.54, 0.6794
resnet18_alldata,1658260938.336, 0.57, 0.6986, 0.5, 0.7579
resnet18_alldata,1658260938.857, 0.54, 0.6857, 0.46, 0.782
resnet18_alldata,1658260939.381, 0.43, 0.8026, 0.45, 0.7587
resnet18_alldata,1658260939.9, 0.5, 0.753, 0.46, 0.7886
resnet18_alldata,1658260940.421, 0.61, 0.6744, 0.55, 0.7054
resnet18_alldata,1658260940.95, 0.5, 0.7213, 0.55, 0.6908
resnet18_alldata,1658260941.471, 0.53, 0.732, 0.49, 0.7317
resnet18_alldata,1658260941.99, 0.5, 0.7378, 0.5, 0.75
resnet18_alldata,1658260942.514, 0.52, 0.7076, 0.6, 0.662
resnet18_alldata,1658260943.038, 0.56, 0.6922, 0.54, 0.7073
resnet18_alldata,1658260943.56, 0.61, 0.6542, 0.48, 0.7465
resnet18_alldata,1658260944.087, 0.58, 0.6982, 0.54, 0.6523
resnet18_alldata,1658260944.611, 0.61, 0.6262, 0.55, 0.7348
resnet18_alldata,1658260945.132, 0.59, 0.6885, 0.58, 0.679
resnet18_alldata,1658260945.655, 0.63, 0.6822, 0.6, 0.6568
resnet18_alldata,1658260946.176, 0.57, 0.6857, 0.6, 0.6256
resnet18_alldata,1658260946.701, 0.6, 0.6494, 0.58, 0.6537
resnet18_alldata,1658260947.221, 0.54, 0.6927, 0.55, 0.6814
resnet18_alldata,1658260947.742, 0.57, 0.7057, 0.54, 0.6859
resnet18_alldata,1658260948.267, 0.56, 0.695, 0.52, 0.7171
resnet18_alldata,1658260948.787, 0.51, 0.7032, 0.63, 0.6579
resnet18_alldata,1658260949.311, 0.58, 0.6548, 0.6, 0.6436
resnet18_alldata,1658260949.835, 0.53, 0.7123, 0.54, 0.7059
resnet18_alldata,1658260950.36, 0.59, 0.6459, 0.67, 0.6044
resnet18_alldata,1658260950.887, 0.58, 0.6592, 0.55, 0.6789
resnet18_alldata,1658260951.406, 0.62, 0.6611, 0.62, 0.6481
resnet18_alldata,1658260951.93, 0.62, 0.6674, 0.55, 0.6782
resnet18_alldata,1658260952.449, 0.58, 0.667, 0.65, 0.6145
resnet18_alldata,1658260952.969, 0.57, 0.6753, 0.61, 0.6462
resnet18_alldata,1658260953.492, 0.66, 0.6541, 0.58, 0.6601
resnet18_alldata,1658260954.013, 0.6, 0.6853, 0.71, 0.6145
resnet18_alldata,1658260954.537, 0.5, 0.7029, 0.58, 0.6745
resnet18_alldata,1658260955.058, 0.59, 0.6823, 0.65, 0.6322
resnet18_alldata,1658260955.576, 0.59, 0.6689, 0.6, 0.6756
resnet18_alldata,1658260956.102, 0.61, 0.6501, 0.61, 0.6659
resnet18_alldata,1658260956.625, 0.58, 0.664, 0.67, 0.5916
resnet18_alldata,1658260957.145, 0.64, 0.6639, 0.59, 0.6636
resnet18_alldata,1658260957.67, 0.65, 0.6078, 0.61, 0.6457
resnet18_alldata,1658260958.192, 0.6, 0.6546, 0.62, 0.6359
resnet18_alldata,1658260958.714, 0.55, 0.6856, 0.59, 0.6446
resnet18_alldata,1658260959.241, 0.67, 0.6211, 0.61, 0.644
resnet18_alldata,1658260959.763, 0.63, 0.6206, 0.64, 0.6496
resnet18_alldata,1658260960.29, 0.49, 0.6901, 0.63, 0.6231
resnet18_alldata,1658260960.81, 0.7, 0.5714, 0.66, 0.6283
resnet18_alldata,1658260961.334, 0.71, 0.5676, 0.64, 0.5989
resnet18_alldata,1658260961.854, 0.6, 0.6377, 0.61, 0.6013
resnet18_alldata,1658260962.377, 0.58, 0.6162, 0.61, 0.6462
resnet18_alldata,1658260962.901, 0.58, 0.6333, 0.64, 0.637
resnet18_alldata,1658260963.425, 0.64, 0.6006, 0.69, 0.5943
resnet18_alldata,1658260963.947, 0.67, 0.6013, 0.58, 0.6379
resnet18_alldata,1658260964.473, 0.58, 0.6255, 0.69, 0.6006
resnet18_alldata,1658260964.997, 0.68, 0.6406, 0.71, 0.5813
resnet18_alldata,1658260965.526, 0.71, 0.5977, 0.62, 0.6504
resnet18_alldata,1658260966.047, 0.65, 0.6539, 0.7, 0.5875
resnet18_alldata,1658260966.57, 0.6, 0.6091, 0.65, 0.6236
resnet18_alldata,1658260967.093, 0.65, 0.5885, 0.62, 0.5946
resnet18_alldata,1658260967.614, 0.71, 0.5686, 0.71, 0.5546
resnet18_alldata,1658260968.138, 0.63, 0.6242, 0.67, 0.5874
resnet18_alldata,1658260968.664, 0.69, 0.5713, 0.65, 0.6045
resnet18_alldata,1658260969.182, 0.67, 0.5864, 0.64, 0.6076
resnet18_alldata,1658260969.708, 0.69, 0.5905, 0.65, 0.6268
resnet18_alldata,1658260970.231, 0.67, 0.6072, 0.69, 0.5715
resnet18_alldata,1658260970.753, 0.69, 0.5268, 0.67, 0.5914
resnet18_alldata,1658260971.278, 0.65, 0.6075, 0.68, 0.5627
resnet18_alldata,1658260971.801, 0.68, 0.5889, 0.7, 0.5561
resnet18_alldata,1658260972.33, 0.61, 0.6488, 0.67, 0.5886
resnet18_alldata,1658260972.857, 0.69, 0.5854, 0.61, 0.6348
resnet18_alldata,1658260973.382, 0.66, 0.5684, 0.66, 0.6008
resnet18_alldata,1658260973.912, 0.64, 0.626, 0.65, 0.6153
resnet18_alldata,1658260974.436, 0.62, 0.6666, 0.64, 0.6229
resnet18_alldata,1658260974.963, 0.6, 0.6117, 0.66, 0.6034
resnet18_alldata,1658260975.488, 0.62, 0.5986, 0.58, 0.6352
resnet18_alldata,1658260976.014, 0.67, 0.5844, 0.69, 0.5387
resnet18_alldata,1658260976.536, 0.77, 0.535, 0.69, 0.5926
resnet18_alldata,1658260977.063, 0.67, 0.5865, 0.67, 0.5459
resnet18_alldata,1658260977.589, 0.74, 0.5229, 0.7, 0.5495
resnet18_alldata,1658260978.113, 0.64, 0.6048, 0.7, 0.5295
resnet18_alldata,1658260978.637, 0.65, 0.5874, 0.69, 0.5642
resnet18_alldata,1658260979.164, 0.7, 0.565, 0.66, 0.5962
resnet18_alldata,1658260979.69, 0.77, 0.503, 0.66, 0.593
resnet18_alldata,1658260980.218, 0.66, 0.5718, 0.73, 0.5161
resnet18_alldata,1658260980.741, 0.73, 0.5285, 0.64, 0.5972
resnet18_alldata,1658260981.267, 0.77, 0.4963, 0.76, 0.5111
resnet18_alldata,1658260981.791, 0.75, 0.5067, 0.74, 0.5497
resnet18_alldata,1658260982.316, 0.68, 0.5872, 0.68, 0.579
resnet18_alldata,1658260982.842, 0.8, 0.5045, 0.69, 0.5736
resnet18_alldata,1658260983.369, 0.71, 0.5284, 0.67, 0.5963
resnet18_alldata,1658260983.897, 0.71, 0.5446, 0.71, 0.5115
resnet18_alldata,1658260984.421, 0.66, 0.5824, 0.78, 0.4806
resnet18_alldata,1658260984.944, 0.69, 0.5888, 0.71, 0.5649
resnet18_alldata,1658260985.471, 0.8, 0.4829, 0.69, 0.5749
resnet18_alldata,1658260986.0, 0.68, 0.5342, 0.75, 0.5114
resnet18_alldata,1658260986.528, 0.74, 0.528, 0.79, 0.5428
resnet18_alldata,1658260987.052, 0.68, 0.5468, 0.71, 0.5405
resnet18_alldata,1658260987.575, 0.7, 0.5901, 0.72, 0.5528
resnet18_alldata,1658260988.103, 0.72, 0.523, 0.69, 0.5606
resnet18_alldata,1658260988.629, 0.67, 0.5891, 0.77, 0.5173
resnet18_alldata,1658260989.155, 0.72, 0.5144, 0.69, 0.5888
resnet18_alldata,1658260989.683, 0.76, 0.5162, 0.72, 0.581
resnet18_alldata,1658260990.205, 0.75, 0.5337, 0.75, 0.5008
resnet18_alldata,1658260990.733, 0.74, 0.5716, 0.76, 0.5096
resnet18_alldata,1658260991.257, 0.65, 0.5616, 0.74, 0.5452
resnet18_alldata,1658260991.784, 0.68, 0.5349, 0.68, 0.5791
resnet18_alldata,1658260992.307, 0.7, 0.5373, 0.71, 0.5421
resnet18_alldata,1658260992.835, 0.65, 0.5922, 0.74, 0.55
resnet18_alldata,1658260993.358, 0.73, 0.5195, 0.73, 0.5031
resnet18_alldata,1658260993.884, 0.69, 0.5959, 0.79, 0.5187
resnet18_alldata,1658260994.408, 0.71, 0.5423, 0.76, 0.4933
resnet18_alldata,1658260994.937, 0.79, 0.5028, 0.76, 0.4945
resnet18_alldata,1658260995.464, 0.78, 0.5132, 0.77, 0.5141
resnet18_alldata,1658260995.991, 0.71, 0.5542, 0.71, 0.5541
resnet18_alldata,1658260996.518, 0.72, 0.5088, 0.75, 0.5033
resnet18_alldata,1658260997.043, 0.71, 0.5527, 0.75, 0.5379
resnet18_alldata,1658260997.573, 0.75, 0.5121, 0.68, 0.5579
resnet18_alldata,1658260998.099, 0.71, 0.5526, 0.81, 0.4748
resnet18_alldata,1658260998.624, 0.73, 0.5279, 0.78, 0.5215
resnet18_alldata,1658260999.151, 0.76, 0.4848, 0.72, 0.526
resnet18_alldata,1658260999.677, 0.81, 0.445, 0.77, 0.5048
resnet18_alldata,1658261000.206, 0.71, 0.549, 0.75, 0.5381
resnet18_alldata,1658261000.732, 0.82, 0.4973, 0.81, 0.4848
resnet18_alldata,1658261001.263, 0.8, 0.4773, 0.72, 0.5118
resnet18_alldata,1658261001.791, 0.72, 0.5734, 0.69, 0.5545
resnet18_alldata,1658261002.322, 0.72, 0.5169, 0.73, 0.5223
resnet18_alldata,1658261002.849, 0.75, 0.5094, 0.73, 0.5347
resnet18_alldata,1658261003.378, 0.62, 0.6023, 0.69, 0.5416
resnet18_alldata,1658261003.909, 0.69, 0.5964, 0.77, 0.5093
resnet18_alldata,1658261004.441, 0.76, 0.5145, 0.68, 0.5648
resnet18_alldata,1658261004.966, 0.73, 0.533, 0.68, 0.5244
resnet18_alldata,1658261005.496, 0.77, 0.5129, 0.75, 0.5123
resnet18_alldata,1658261006.025, 0.75, 0.5206, 0.75, 0.509
resnet18_alldata,1658261006.551, 0.73, 0.516, 0.83, 0.4594
resnet18_alldata,1658261007.079, 0.73, 0.5438, 0.78, 0.4672
resnet18_alldata,1658261007.611, 0.72, 0.511, 0.76, 0.4955
resnet18_alldata,1658261008.139, 0.72, 0.5458, 0.79, 0.4865
resnet18_alldata,1658261008.666, 0.81, 0.478, 0.74, 0.4945
resnet18_alldata,1658261009.201, 0.71, 0.5204, 0.74, 0.5193
resnet18_alldata,1658261009.73, 0.82, 0.4675, 0.75, 0.5263
resnet18_alldata,1658261010.261, 0.81, 0.429, 0.8, 0.459
resnet18_alldata,1658261010.79, 0.77, 0.4859, 0.75, 0.5123
resnet18_alldata,1658261011.318, 0.75, 0.5223, 0.76, 0.5065
resnet18_alldata,1658261011.85, 0.79, 0.4494, 0.83, 0.4322
resnet18_alldata,1658261012.38, 0.72, 0.5517, 0.78, 0.5051
resnet18_alldata,1658261012.905, 0.79, 0.4644, 0.69, 0.54
resnet18_alldata,1658261013.433, 0.8, 0.4696, 0.74, 0.5234
resnet18_alldata,1658261013.969, 0.79, 0.4694, 0.74, 0.5423
resnet18_alldata,1658261014.503, 0.85, 0.4127, 0.77, 0.5301
resnet18_alldata,1658261015.035, 0.76, 0.4978, 0.73, 0.5073
resnet18_alldata,1658261015.567, 0.8, 0.4877, 0.85, 0.4242
resnet18_alldata,1658261016.102, 0.79, 0.4567, 0.75, 0.5164
resnet18_alldata,1658261016.635, 0.9, 0.3932, 0.82, 0.4595
resnet18_alldata,1658261017.17, 0.75, 0.4818, 0.75, 0.4736
resnet18_alldata,1658261017.701, 0.74, 0.5177, 0.71, 0.5224
resnet18_alldata,1658261018.234, 0.75, 0.5318, 0.79, 0.5244
resnet18_alldata,1658261018.767, 0.75, 0.5067, 0.76, 0.5118
resnet18_alldata,1658261019.299, 0.78, 0.4884, 0.72, 0.5063
resnet18_alldata,1658261019.831, 0.73, 0.4886, 0.74, 0.5028
resnet18_alldata,1658261020.368, 0.82, 0.4662, 0.77, 0.4576
resnet18_alldata,1658261020.899, 0.85, 0.4352, 0.86, 0.4766
resnet18_alldata,1658261021.435, 0.77, 0.4942, 0.82, 0.4276
resnet18_alldata,1658261021.969, 0.87, 0.4063, 0.7, 0.5428
resnet18_alldata,1658261022.506, 0.73, 0.4918, 0.82, 0.4662
resnet18_alldata,1658261023.04, 0.82, 0.4644, 0.78, 0.4751
