Date,Pen,Tag,Start_Time,End_Time,Total_Time,Total_Time,Nose_Rub,Water_Lap,Idle
11/02/2022,114,16D,12:58:28,13:00:24,0:01:56,1.93,0,1,0
11/02/2022,115,24D,12:18:57,12:21:21,0:02:24,2.4,0,1,0
11/02/2022,115,17G,13:59:34,14:00:19,0:00:45,0.75,0,0,0
11/02/2022,115,37G,14:16:13,14:17:07,0:00:54,0.9,1,1,0
11/02/2022,114,18G,14:24:04,14:25:51,0:01:47,1.78,0,1,0
11/02/2022,115,45G,14:29:53,14:31:41,0:01:48,1.8,0,1,0
11/02/2022,114,43E,15:08:36,15:09:18,0:00:42,0.7,0,0,0
11/02/2022,114,66G,15:38:23,15:38:44,0:00:21,0.35,0,0,1
11/02/2022,114,66G,15:39:20,15:43:58,0:04:38,4.63,0,1,0
11/02/2022,114,143E,15:57:36,15:58:22,0:00:46,0.77,0,0,0
11/02/2022,120,53F,7:52:03,7:53:05,0:01:02,1.03,0,0,1
11/02/2022,120,53F,7:59:11,8:00:44,0:01:33,1.55,0,0,0
11/02/2022,120,16E,8:12:54,8:13:49,0:00:55,0.92,0,1,0
11/02/2022,120,110C,11:00:14,11:04:57,0:04:43,4.72,1,0,0
11/02/2022,121,31F,11:04:38,11:06:34,0:01:56,1.93,0,0,0
11/02/2022,120,63F,11:08:04,11:09:15,0:01:11,1.18,0,0,0
11/02/2022,121,83F,11:16:09,11:17:23,0:01:14,1.23,0,0,0
11/02/2022,120,53F,11:17:00,11:18:12,0:01:12,1.2,0,0,0
11/02/2022,120,16E,11:19:52,11:22:49,0:02:57,2.95,0,1,0
11/02/2022,120,63F,11:32:45,11:34:05,0:01:20,1.33,0,0,0
11/02/2022,121,25X,11:33:10,11:34:24,0:01:14,1.23,0,0,0
11/02/2022,120,64C,11:37:20,11:39:25,0:02:05,2.08,0,1,0
11/02/2022,121,9G,11:38:03,11:39:46,0:01:43,1.72,1,0,0
11/02/2022,121,9G,11:40:21,11:41:47,0:01:26,1.43,1,1,0
11/02/2022,121,78F,11:43:00,11:44:50,0:01:50,1.83,0,1,0
11/02/2022,121,83F,11:44:58,11:46:09,0:01:11,1.18,0,0,0
11/02/2022,121,25X,11:48:26,11:51:04,0:02:38,2.63,1,1,0
11/02/2022,120,53F,11:49:10,11:49:35,0:00:25,0.42,0,0,0
11/02/2022,120,64C,11:49:45,11:52:20,0:02:35,2.58,1,1,0
11/02/2022,121,83F,11:56:28,11:56:53,0:00:25,0.42,0,0,0
11/02/2022,121,N/A,11:57:33,11:58:39,0:01:06,1.1,0,1,0
11/02/2022,121,64E,12:12:44,12:14:56,0:02:12,2.2,1,1,0
11/02/2022,120,16E,12:17:36,12:18:37,0:01:01,1.02,0,1,0
11/02/2022,120,53F,12:18:47,12:19:27,0:00:40,0.67,0,0,0
11/02/2022,120,149A,12:19:57,12:20:56,0:00:59,0.98,1,0,0
11/02/2022,120,53F,12:21:04,12:22:48,0:01:44,1.73,0,0,0
11/02/2022,120,64C ,12:27:45,12:30:39,0:02:54,2.9,1,1,0
